NEWS ENGLISH,#genre#
CNBC18,https://n18syndication.akamaized.net/bpk-tv/CNBC_TV18_NW18_MOB/output01/index.m3u8
CNBC 18 PRIME,https://n18syndication.akamaized.net/bpk-tv/CNBC_Tv18_Prime_HD_NW18_MOB/output01/index.m3u8
NEWSX,https://mumt01.tangotv.in/O5aw8Zn3NEWSX/index.m3u8
NDTV WORLD,https://raw.githubusercontent.com/amazeyourself/adaptive-streams/refs/heads/main/streams/in/YuppTV/NDTV24x7.m3u8
NDTV PROFIT,https://ndtvprofit.akamaized.net/hls/live/2107404/ndtvprofit/master_1.m3u8
NEWS 9,https://amg01106-amg01106c3-amgplt0844.playout.now3.amagi.tv/ts-ap-s1-n1/playlist/amg01106-amg01106c3-amgplt0844/playlist.m3u8
RT INDIA,https://rt-india.rttv.com/dvr/rtindia/playlist.m3u8
WION,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
TRT WORLD,https://tv-trtworld.medya.trt.com.tr/master_1080.m3u8
DW NEWS,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/master.m3u8
FRANCE 24,https://live.france24.com/hls/live/2037218-b/F24_EN_HI_HLS/master_5000.m3u8
AFRICA 24,https://edge20.vedge.infomaniak.com/livecast/ik:africa24english/manifest.m3u8
ALZEERA,https://live-hls-aje-ak.getaj.net/AJE/01.m3u8
EURO NEWS,https://cdn-euronews.akamaized.net/live/eds/euronews-en/25080/euronews-en.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
BRICS,https://chibrics.mediacdn.ru/cdn/brics/english/index.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
BBC,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
GB,https://rakutenaa-lightning-gbnews-rakuten-ccoa9.amagi.tv/playlist/rakutenAA-lightning-gbnews-rakuten/playlist.m3u8
NHK,https://masterpl.hls.nhkworld.jp/hls/w/live/smarttv.m3u8
NEWSMAX,https://nmx1ota.akamaized.net/hls/live/2107010/Live_1/3.m3u8
GLOBAL NEWS,https://live.corusdigitaldev.com/groupb/live/3062d0e3-ed4c-4f47-8482-95648250f4b8/live.isml/.m3u8

CNA ORIGINALS, https://amg01082-cna-amg01082c1-rlaxx-us-11304.playouts.now.amagi.tv/playlist.m3u8
DOCBAY,https://cc-mgr91yrk4pehy.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-mgr91yrk4pehy/playlist.m3u8
HISTORY 18,https://amg01448-amg01448c16-samsung-in-3495.playouts.now.amagi.tv/playlist/amg01448-samsungindia-historychannelenglish-samsungin/playlist.m3u8
INWILD,https://amg00861-amg00861c7-firetv-us-4725.playouts.now.amagi.tv/playlist.m3u8
WILD EARTH,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
CHINA TRAVEL,https://amg01314-amg01314c7-distrotv-us-10219.playouts.now.amagi.tv/playlist/amg01314-cgtn-cgtnchinatravel-distrotvus/playlist.m3u8
DISCOVERY CHINA,https://amg01314-amg01314c8-distrotv-us-10218.playouts.now.amagi.tv/playlist/amg01314-cgtn-cgtndiscoveringchina-distrotvus/playlist.m3u8
BBC EARTH,https://aegis-cloudfront-1.tubi.video/bb1fc6ad-9948-42ea-aaf3-20acfcdeecac/playlist.m3u8


HINDI,#genre#
EPIC MUSIC,https://mumt04.tangotv.in/m18aqlK4EPICMUSIC/index.m3u8
9XM,https://wiselp.wiseplayout.com/9XM/master.m3u8
E24,https://mumt04.tangotv.in/m18aqlK4E24/index.m3u8
MUSIC INDIA,https://cdn-2.pishow.tv/live/226/master.m3u8
ZOOM,https://d2esfk1pb9cdob.cloudfront.net/master.m3u8
YRF,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01412-xiaomiasia-yrfmusic-xiaomi/playlist.m3u8


KANADA,#genre#
SINDHURA KANADA TV,https://mumbai-edge.smartplaytv.in/SindhuraNews/index.m3u8
NANDHI KANADA TV,https://vvsolutions-server11.in/nanditv_10/video.m3u8
JK KANADA TV,http://account18.livebox.co.in/jktvkannadahls/live.m3u8
REPUBLIC KANADA TV,https://mumbai-edge.smartplaytv.in/republickannada/index.m3u8
JK TV,http://account18.livebox.co.in/jktvkannadahls/live.m3u8
ENEWS,http://account10.livebox.co.in/enewstvnoonechannelomsairamhls/live.m3u8
CN MUSIC,https://rcntvlive.com/Rcnmusichls/live.m3u8
RCN TV,https://rcntvlive.com/Rcnchannelhls/live.m3u8
REPUBLIC TV,https://mumbai-edge.smartplaytv.in/republickannada/index.m3u8
CTV,https://vvsolutions.in/ctvnews/ctvnews.m3u8

MALAYALAM,#genre#
GTPL KERLA,https://srvx.nellaiiptv.com/restream/4vwghq/index.m3u8
ANADN HD,https://live-anandtv.anandmedia.net/anandtvapp/anandtv/index.m3u8?token=D693400
KCL,https://kcltv.livebox.co.in/kclhls/live.m3u8
NEW STAR,https://live.skystream.in/live/newsstar2924/index.m3u8?hls_ctx=ix6cvu58
SOUTH VISION,https://live.skystream.in/live/southvsnklm/index.m3u8
UTSAV TV,https://em4qj6nedyvg-hls-live.wmncdn.net/liveunit/89b1e919eed04e59383cf820d644c20e.sdp/chunks.m3u8
CITI VISION,https://live.skystream.in/live/citykannurcity/tracks-v1a1/mono.m3u8
GTV,https://play.applelive.in/gtv/gtv.m3u8
GTV MAX,https://play.applelive.in/gtvmax/gtvmax.m3u8
VCV,https://5a1178b42cc03.streamlock.net/8210/8210/index.m3u8
C MALAYALAM,https://2-fss-2.streamhoster.com/pl_120/206508-3261972-1/playlist.m3u8
UTV,https://em4qj6nedyvg-hls-live.wmncdn.net/utv/ab2de115318ae40bdd434e193a2f2e7f.sdp/playlist.m3u8
KV TV,https://2-fss-2.themediacdn.com/pl_138/206324-3157542-1/chunklist.m3u8
N VISION,https://ipcloud.live/nvision/nvisionhd/index.m3u8
METRO LIVE,https://kcnsdhlsapp.ylivestream.com/kcnsdapphls/index.m3u8
KOICKAL TV,https://play.applelive.in/koickalnews/koickalnews.m3u8
POWRAN MEDIA,https://stream.onecloudlive.in/powranmedia/livestream/index.m3u8
