TELUGU,#genre#
SANATHAN TV,https://mumbai-edge.smartplaytv.in/SanathanTV/index.m3u8
RK BHAKTHI,https://mumbai-edge.smartplaytv.in/RKBhakthiTV/index.m3u8
DS 9 Music,https://mumbai-edge.smartplaytv.in/Ds9music/index.m3u8
GEETV Music,https://mumbai-edge.smartplaytv.in/GeeMusic/index.m3u8
BCT Music,https://mumbai-edge.smartplaytv.in/BCTMusic/index.m3u8
SSLC Music,https://mumbai-edge.smartplaytv.in/SSLCMusic/index.m3u8
SAMA MUSIC,http://cloud.streamplay.in:1935/samatv/samatv/playlist.m3u8
VV MUSIC,https://allchannels.in/live/vvmusic_100/index.m3u8
TELUGU CINEMA,https://mumbai-edge.smartplaytv.in/Manavooru/index.m3u8
2 TELUGU,https://mumbai-edge.smartplaytv.in/2Telugu/index.m3u8
TGN TV,https://venus.streambridge.link:8047/telugu/tgn/index.m3u8
VV MOVIES,https://allchannels.in/live/vvmovies_100/index.m3u8
NEW TV TELUGU,http://newtvtelugu.phoenixcreations.online/newtvtelugu/newtvtelugu/tracks-v1a1/index.m3u8
Vihari TV,http://viharitv.phoenixcreations.online:1935/viharitv/viharitv/index.m3u8
Satya TV,https://vstechs.in/PTP/satya/index.m3u8
Mana Pitapuram,https://vstechs.in/PTP/manaptp/index.m3u8
JK CITY,https://amigofx.com:1936/jkccity/jkccity/index.m3u8
CITI CHANNEL,https://amigofx.com:1936/sitichannel/sitichannel/playlist.m3u8
JOGULAMBA TV,https://mumbai-edge.smartplaytv.in/JogulambaTV/index.m3u8
RV DIGITAL TV,https://rtmp.streamwell.in/rvdigitaltv.m3u8
SS NEWS,https://5dd3981940faa.streamlock.net/snewsnpt/snewsnpt/playlist.m3u8
GTV,http://cache.internode.co.in:6081/GeeTV/index.m3u8
SSTV,https://live.kpsnetwork.in/sstv/sstv/index.m3u8
NETI SAKSHYAM,http://cloud.sundaylive.co.in/netisakshyam/netisakshyam/index.m3u8
KPS Telugu,https://live.kpsnetwork.in/kps/kps/index.m3u8
VEDA SRI,https://vstechs.in/PTP/vedha/index.m3u8
ZOY HD,https://rtmp.streamwell.in/hls/zoyhd.m3u8
SV6,http://cache.internode.co.in:6081/SV6/index.m3u8
RK GOLD,https://mumbai-edge.smartplaytv.in/RkGold/index.m3u8
RK TV,https://vvsolutions.in/rktv_347/rktv_347.m3u8
7GTV,https://rtmp.streamwell.in/hls/7gtv.m3u8
RV FLOCK TV,https://vvsolutions-server14.in/siticablemovies_31/video.m3u8
SLN NEWS,https://vvsolutions-server11.in/slnnews_2/video.m3u8
MAA TELANGANA,http://telanganatv.phoenixcreations.online:1935/telanganatv/telanganatv/chunklist_w1691683123.m3u8
E69 News,https://mumbai-edge.smartplaytv.in/E69News/index.m3u8
Akshara Banjara,https://vvsolutions-server11.in/aksharabanjara_50/video.m3u8
Akshara News,https://vvsolutions.in/aksharanews/aksharanews.m3u8
JEE TV,https://vvsolutions.in/aplocaltv/aplocaltv.m3u8
ASN NEWS,https://mumbai-edge.smartplaytv.in/ASNNews/index.m3u8
LOCAL TV,https://amigofx.com:1936/localnews/localnews/index.m3u8
VCN TV,https://mumbai-edge.smartplaytv.in/vcn/index.m3u8
Tirumala HD,https://mumbai-edge.smartplaytv.in/TirumalaHD/index.m3u8
VICTORY MEDIA,http://cache.internode.co.in:6081/victoriaMedia/index.m3u8
CHITTOOR TV HD,https://server.streamwell.in/hls/chittoortvhd.m3u8
SATYA INFOCUS,https://vstechs.in/PTP/ssp/index.m3u8
S90 TV,https://mumbai-edge.smartplaytv.in/S90News/index.m3u8
TV6 TELUGU,https://mumbai-edge.smartplaytv.in/TV6/index.m3u8
BCT Classic,https://mumbai-edge.smartplaytv.in/BCTClassic/index.m3u8
BCT Movies,https://mumbai-edge.smartplaytv.in/BCTMovies/index.m3u8
Shreyas TV,https://mumbai-edge.smartplaytv.in/ShreyasTV/index.m3u8
Key News,https://mumbai-edge.smartplaytv.in/KeyNews/index.m3u8
AVN TV,https://mumbai-edge.smartplaytv.in/AVNTV/index.m3u8
G K MEDIA TV,https://mumbai-edge.smartplaytv.in/GKMedia/index.m3u8
MEDIA 10 NEWS,https://mumbai-edge.smartplaytv.in/Media10News/index.m3u8
SVN NEWS,https://mumbai-edge.smartplaytv.in/SVNEWS/index.m3u8
INB,https://mumbai-edge.smartplaytv.in/INBtelugu/index.m3u8
JAI TELANGANA,https://mumbai-edge.smartplaytv.in/JaiTelangana/index.m3u8
SATHYA NEWS,https://mumbai-edge.smartplaytv.in/SathyaNews/index.m3u8
Anjali TV,https://venus.streambridge.link:8047/telugu/anjalitv/index.m3u8
TV3,https://mumbai-edge.smartplaytv.in/TV3/index.m3u8
CITY CABLE TANDUR,https://vvsolutions.in/cabletandur/cabletandur.m3u8
S10,https://mumbai-edge.smartplaytv.in/s10/index.m3u8
TS9,https://mumbai-edge.smartplaytv.in/TS9/index.m3u8
AV NEWS,https://mumbai-edge.smartplaytv.in/AVNews/index.m3u8
Prajavani,https://mumbai-edge.smartplaytv.in/Prajavani/index.m3u8
CK NEWS,https://mumbai-edge.smartplaytv.in/CKNEWS/index.m3u8
KERATAM NEWS,https://mumbai-edge.smartplaytv.in/Keratamnews/index.m3u8
VRM MEDIA,https://mumbai-edge.smartplaytv.in/VRMMEDIA/index.m3u8
SREE NEWS,https://vvsolutions.in/sreenews/sreenews.m3u8
YSR TV,https://vvsolutions.in/ysrtv/ysrtv.m3u8
I VIEW,https://mumbai-edge.smartplaytv.in/IVIEW/index.m3u8
N24 NEWS,https://mumbai-edge.smartplaytv.in/N24NEWS/index.m3u8
AN TV,https://mars.streambridge.link:8052/telugu/antv/index.m3u8
TV 6,https://mumbai-edge.smartplaytv.in/TV6/index.m3u8
PS NEWS,https://mumbai-edge.smartplaytv.in/PSNEWS/index.m3u8
D4 TV,https://server.streamwell.in/hls/d4.m3u8
SVC TV,https://mumbai-edge.smartplaytv.in/SVC/index.m3u8
MEE NEWS,https://mumbai-edge.smartplaytv.in/MeeNews/index.m3u8
SDTV,https://mumbai-edge.smartplaytv.in/SDTV/index.m3u8
Bathukamma TV,https://mumbai-edge.smartplaytv.in/BathukammaTV/video.m3u8
SSLC Janapadalu,https://mumbai-edge.smartplaytv.in/Janapadalu/index.m3u8
SSLC Banjara Dolu,https://mumbai-edge.smartplaytv.in/SSLCBanjaraDolu/index.m3u8
SSLC Multiplex,https://mumbai-edge.smartplaytv.in/SSLCMultiplex/index.m3u8
SSLC Cinemalu,https://mumbai-edge.smartplaytv.in/SSLCCinemalu/index.m3u8
SSLC Gold,https://mumbai-edge.smartplaytv.in/SSLCGold/index.m3u8
ACN TV,https://mumbai-edge.smartplaytv.in/acn/index.m3u8
Rapid Media,https://mumbai-edge.smartplaytv.in/RapidMedia/index.m3u8
MY TV,https://mumbai-edge.smartplaytv.in/MyTV/index.m3u8
City News Telugu,https://mumbai-edge.smartplaytv.in/CityNewsTelugu/index.m3u8
DS 9 Kathalu,https://mumbai-edge.smartplaytv.in/DS9Kathalu/index.m3u8
BJ TV,https://mumbai-edge.smartplaytv.in/BJTV/index.m3u8
RK Bhathi,https://mumbai-edge.smartplaytv.in/RKBhakthiTV/index.m3u8
RKTV,https://mumbai-edge.smartplaytv.in/RKTV/index.m3u8
Vinodam HD,https://mumbai-edge.smartplaytv.in/VinodamHD/index.m3u8
Deccan Today Telugu,https://mumbai-edge.smartplaytv.in/DeccanToday/index.m3u8
Bahujana News TV,https://mumbai-edge.smartplaytv.in/BahujanaTV/index.m3u8
Food & Health,https://mumbai-edge.smartplaytv.in/FAndH/index.m3u8
Darshanam Bakthi,https://mumbai-edge.smartplaytv.in/darshanambhakthi/index.m3u8
N24 News Telugu,https://mumbai-edge.smartplaytv.in/N24NEWS/index.m3u8
Studio18 News Telugu,https://mumbai-edge.smartplaytv.in/Studio18/index.m3u8
Journalist Today TV,https://mumbai-edge.smartplaytv.in/JournalistToday/index.m3u8
GS GRAMEENA,https://mumbai-edge.smartplaytv.in/GSGrameena/index.m3u8
SRK CITY,https://server.streamwell.in/hls/srkcity.m3u8
MULTIPLEX 70MM,http://cache.internode.co.in:6081/SSLCMultiplex/index.m3u8
4 SIDES TV,https://mumbai-edge.smartplaytv.in/4sidestv/index.m3u8
SITI 24X7,https://www.schannels.in/SITI24X7_1/index.m3u8
SSTV,http://streamcp.logosys.cloud:1935/snewsnpt/snewsnpt/playlist.m3u8
CHANAKYA NEWS,https://mumbai-edge.smartplaytv.in/ChanakyaNews/index.m3u8
MEDIA TODAY,https://mumbai-edge.smartplaytv.in/MediaToday/index.m3u8
JAI-BHIM,https://mumbai-edge.smartplaytv.in/JaiBhim/index.m3u8
DEVI CABLE,https://mumbai-edge.smartplaytv.in/DeviCable/index.m3u8
PUBLIC FOLK,https://publictvtelugu.co.in/publictvfolkmusic_2/video.m3u8
PUBLIC TV,https://publictvtelugu.co.in/publictv_1/video.m3u8
CITY TELANGANA,http://cloud.streamplay.in:1935/ccc/ccc/playlist.m3u8
JEE TELUGU,https://vvsolutions.in/aplocaltv/aplocaltv.m3u8
MTV TELUGU,http://cache.internode.co.in:6081/MTV/index.m3u8
PRIME ONE,http://live.streamplay.in:1935/prime1/prime1/playlist.m3u8
PCN HD,http://cache.internode.co.in:6081/PCNHD/index.m3u8
SUPER TV,https://venus.streambridge.link:8047/telugu/supertv/index.m3u8
VIZAG LOCAL,https://edmediahub.in/vizaglocaltv/video.m3u8
VICTORY MEDIA,http://cache.internode.co.in:6081/victoriaMedia/index.m3u8
SEVEN HILLS,https://server.streamwell.in/hls/7hills.m3u8
TELUGU TV,http://live.streamplay.in:1935/telugutv/telugutv/playlist.m3u8
MY TV,https://mumbai-edge.smartplaytv.in/MyTV/index.m3u8
ZILLA VANI,https://streaming.livebox.co.in/vedhikahls/live.m3u8
KRS TV,http://cache.internode.co.in:6081/ds9e/index.m3u8
GTN TELUGU,https://amigofx.com:1936/srkent/srkent/playlist.m3u8
108 TV,http://live.streamplay.in:1935/108tv/108tv/playlist.m3u8
BAVYA TV,http://encode.streamplay.in:1935/bhavyatv/bhavyatv/playlist.m3u8
GTPL,http://cloud.streamplay.in:1935/gtpl/gtpl/playlist.m3u8
GTPL KARIMNAGAR,http://cloud.streamplay.in:1935/samacomedy/samacomedy/playlist.m3u8
K6,http://cloud.streamplay.in:1935/roshni/roshni/playlist.m3u8
